domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.protothema.gr,-0.027399101417512315,0.22909914599728076,0.38522362556933076,0.2506334489691429,856.0
www.newsit.gr,-0.01768119958666285,0.23857386757338886,0.42036560553730995,0.2390679802362028,439.0
www.skai.gr,0.01926242030962112,0.18311932424767605,0.33843457150411455,0.26158370097258865,322.0
www.naftemporiki.gr,0.03602290735834215,0.20469277539579858,0.3683610721283547,0.22772018894714277,230.0
dialogos.com.cy,0.018597389863320272,0.14761026722810955,0.379952330942812,0.19934943834553548,198.0
www.alphafreepress.gr,-0.02495397722344442,0.29157818276277425,0.4418359778503221,0.25884507357694636,122.0
i-epikaira.blogspot.com,-0.012744982290436834,0.15257821374832262,0.37302505575232847,0.19761792382621413,11.0
gr.pcmag.com,0.09948206555349413,0.24344020233048738,0.36338126159554734,0.32516600235007986,7.0
www-in-gr.cdn.ampproject.org,-0.1687962962962963,0.16865422903441651,0.4247354497354497,0.27254114164527304,6.0
techblog.gr,0.18446969696969698,0.13088307953911335,0.5013573232323233,0.15433039927363695,6.0
www.sigmalive.com,0.05050505050505052,0.3602408812180611,0.4313131313131313,0.383382238266595,3.0
www-newsbomb-gr.cdn.ampproject.org,0.22777777777777777,0.22505143445032327,0.4166666666666667,0.4010403138505321,3.0
www-tanea-gr.cdn.ampproject.org,-0.09527777777777778,0.19969826776451557,0.39083333333333337,0.09454936981986359,3.0
www.newsbeast.gr,-0.11176162131519272,0.07994097778345231,0.41947137188208616,0.10456082931895863,3.0
www.parapolitika.gr,-0.12749999999999997,0.07424621202458745,0.4458333333333333,0.31230549502405847,2.0
www.huffingtonpost.gr,-0.08880208333333334,0.1926129409169606,0.3927083333333333,0.048613591206575144,2.0
www-topontiki-gr.cdn.ampproject.org,-0.03333333333333333,0.04714045207910317,0.20833333333333334,0.2946278254943948,2.0
www.philenews.com,0.02652777777777778,0.03319473500570184,0.3581944444444444,0.12943982466720408,2.0
www.kathimerini.gr,0.05833333333333332,0.08249579113843053,0.3055555555555555,0.36926687461964147,2.0
www-newsit-gr.cdn.ampproject.org,0.02833333333333334,0.08956685895029602,0.35583333333333333,0.01532064692570855,2.0
www-capital-gr.cdn.ampproject.org,-0.3625,0.3358757210636101,0.6875,0.4419417382415922,2.0
pelop-gr.cdn.ampproject.org,-0.10972222222222222,0.15517065476038128,0.2569444444444444,0.36337431810975357,2.0
fonimaleviziou.gr,0.11597222222222223,0.07169277087030274,0.43000000000000005,0.07542472332656511,2.0
www.real.gr,0.0,1.0,0.0,1.0,1.0
www.reporter.com.cy,0.0,1.0,0.0,1.0,1.0
www.proinoslogos.gr,0.0,1.0,0.0,1.0,1.0
www.politikakritis.gr,0.0,1.0,0.0,1.0,1.0
www.politica.gr,0.0,1.0,0.0,1.0,1.0
www.taxydromos.gr,0.0,1.0,0.0,1.0,1.0
www.theopinion.gr,0.0,1.0,0.0,1.0,1.0
www.newsbomb.gr,0.0,1.0,0.0,1.0,1.0
www.vietnam.vn,0.0,1.0,0.0,1.0,1.0
www.neakriti.gr,0.0,1.0,0.0,1.0,1.0
creta24.gr,0.0,1.0,0.0,1.0,1.0
www.ekriti.gr,0.0,1.0,0.0,1.0,1.0
www.liberal.gr,0.0,1.0,0.0,1.0,1.0
www-tovima-com.cdn.ampproject.org,0.0,1.0,0.0,1.0,1.0
e--thessalia-gr.cdn.ampproject.org,0.0,1.0,0.0,1.0,1.0
gr.euronews.com,0.0,1.0,0.0,1.0,1.0
m.kathimerini.com.cy,0.0,1.0,0.0,1.0,1.0
www-athensvoice-gr.cdn.ampproject.org,0.0,1.0,0.0,1.0,1.0
www-enikos-gr.cdn.ampproject.org,0.0,1.0,0.0,1.0,1.0
www-ethnos-gr.cdn.ampproject.org,0.0,1.0,0.0,1.0,1.0
www-messinialive-gr.cdn.ampproject.org,0.0,1.0,0.0,1.0,1.0
www.businessdaily.gr,0.0,1.0,0.0,1.0,1.0
www.in.gr,0.0,1.0,0.0,1.0,1.0
www.cnn.gr,0.0,1.0,0.0,1.0,1.0
www.cretalive.gr,0.0,1.0,0.0,1.0,1.0
www.dnews.gr,0.0,1.0,0.0,1.0,1.0
debater.gr,0.0,1.0,0.0,1.0,1.0
www.ertnews.gr,0.0,1.0,0.0,1.0,1.0
www.iefimerida.gr,0.0,1.0,0.0,1.0,1.0
www.ieidiseis.gr,0.0,1.0,0.0,1.0,1.0
www.zarpanews.gr,0.0,1.0,0.0,1.0,1.0
